id,observed_on,time_observed_at,scientific_name,common_name,taxon_id
148826316,2023-02-15,2023-02-15 14:10:36 UTC,Branta canadensis,Canada Goose,7089
148826503,2023-02-15,2023-02-15 14:12:58 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
148826657,2023-02-15,2023-02-15 14:12:40 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
148912178,2023-02-02,2023-02-02 21:23:37 UTC,Anas platyrhynchos domesticus,Domestic Mallard,236935
148914600,2023-02-16,2023-02-16 18:39:00 UTC,Sturnus vulgaris,European Starling,14850
148914602,2023-02-16,2023-02-16 18:39:00 UTC,Sitta carolinensis,White-breasted Nuthatch,14801
148914604,2023-02-16,2023-02-16 18:39:00 UTC,Turdus migratorius,American Robin,12727
148914605,2023-02-16,2023-02-16 18:39:00 UTC,Dryobates pubescens,Downy Woodpecker,792988
148914606,2023-02-16,2023-02-16 18:39:00 UTC,Melanerpes carolinus,Red-bellied Woodpecker,18205
148914607,2023-02-16,2023-02-16 18:39:00 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
148914608,2023-02-16,2023-02-16 18:39:00 UTC,Cyanocitta cristata,Blue Jay,8229
148918979,2023-02-16,2023-02-16 19:48:25 UTC,Cardinalis cardinalis,Northern Cardinal,9083
148975892,2023-02-08,2023-02-08 21:11:14 UTC,Cardinalis cardinalis,Northern Cardinal,9083
148975940,2023-02-08,2023-02-08 21:00:14 UTC,Poecile atricapillus,Black-capped Chickadee,144815
148975969,2023-02-05,2023-02-05 19:48:58 UTC,Cygnus olor,Mute Swan,6921
148976133,2023-02-05,2023-02-05 20:12:45 UTC,Mergus merganser,Common Merganser,7004
148976287,2023-02-02,2023-02-02 21:21:13 UTC,Cygnus olor,Mute Swan,6921
148976305,2023-02-02,2023-02-02 21:16:19 UTC,Cardinalis cardinalis,Northern Cardinal,9083
148976350,2023-01-15,2023-01-15 18:44:41 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
148976466,2023-01-15,2023-01-15 17:50:14 UTC,Sitta carolinensis,White-breasted Nuthatch,14801
148990294,2023-02-17,2023-02-17 20:44:31 UTC,Zenaida macroura,Mourning Dove,3454
149067115,2023-02-18,2023-02-18 19:14:26 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
149071415,2023-02-18,2023-02-18 19:08:00 UTC,Aythya americana,Redhead,7056
149237723,2023-02-18,2023-02-18 23:53:59 UTC,Anas platyrhynchos,Mallard,6930
149351695,2023-02-21,2023-02-21 17:21:23 UTC,Passer domesticus,House Sparrow,13858
149358810,2023-02-21,2023-02-21 20:04:00 UTC,Gavia immer,Common Loon,4626
149358970,2023-02-21,2023-02-21 19:58:00 UTC,Aythya collaris,Ring-necked Duck,7044
149488638,2023-02-23,2023-02-23 17:26:09 UTC,Columba livia domestica,Feral Pigeon,122767
149581893,2023-02-24,2023-02-24 20:22:00 UTC,Aythya marila,Greater Scaup,7047
149608659,2023-02-24,2023-02-24 14:02:07 UTC,Branta canadensis,Canada Goose,7089
149628873,2023-02-03,2023-02-03 18:56:26 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
149649810,2023-02-25,2023-02-25 17:32:20 UTC,Meleagris gallopavo,Wild Turkey,906
149655065,2023-02-24,2023-02-24 14:53:59 UTC,Mergus serrator,Red-breasted Merganser,6996
